Serving_size,kcal,carbo,sugar,protein,fat,saturated_fat,trans_fat,cholesterol,salt,calcium,soup_dummy0,soup_dummy1,soup_dummy2,eat_dummy0,eat_dummy1,fresh_dummy,con_dummy0,con_dummy1,con_dummy2,con_dummy3,con_dummy4,con_dummy5,main_dummy0,main_dummy1,main_dummy2,main_dummy3,main_dummy4,main_dummy5,main_dummy6,main_dummy7,main_dummy8,main_dummy9,sub_dummy0,sub_dummy1,sub_dummy2,sub_dummy3,sub_dummy4,sub_dummy5,sub_dummy6,sub_dummy7,sub_dummy8,sub_dummy9
0.214366,0.113866,0.052632,0.115385,0.075949,0.107692,0.021277,0,0,0.048433,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.180696,0.222222,0.230263,0.019231,0.126582,0.107692,0.085106,0,0.041379,0.154986,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.180696,0.227732,0.230263,0.019231,0.139241,0.107692,0.085106,0,0.044828,0.139886,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.236813,0.259871,0.309211,0.057692,0.126582,0.092308,0.051064,0,0.062069,0.142735,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.236813,0.258953,0.289474,0.25,0.101266,0.123077,0.038298,0,0.02069,0.132194,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.236813,0.369146,0.230263,0.096154,0.113924,0.369231,0.276596,0.033333,0.186207,0.072365,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.232323,0.292929,0.440789,0.230769,0.113924,0.032308,0,0,0,0.581197,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.147026,0.233242,0.210526,0.038462,0.139241,0.138462,0.074468,0,0.068966,0.131054,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.147026,0.242424,0.184211,0.057692,0.139241,0.184615,0.093617,0,0.086207,0.091168,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.158249,0.26079,0.236842,0.173077,0.126582,0.169231,0.1,0,0.051724,0.139601,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
