음식이름,영양성분,함유량
매운갈비찜,비타민 E,3.89mg
매운갈비찜,식이섬유,15.14g
매운갈비찜,아연,13.57mg
매운갈비찜,엽산,95.09㎍
매운갈비찜,인,"1,297.73mg"
매운갈비찜,지질,72.44g
매운갈비찜,철분,7.38mg
매운갈비찜,칼륨,"2,940.07mg"
매운갈비찜,칼슘,232.83mg
매운갈비찜,콜레스테롤,359.82mg
굴국,베타카로틴,"1,395.90㎍"
굴국,니아신,5.43mg
굴국,나트륨,"3,054.42mg"
굴국,단백질,18.88g
굴국,당질,25.37g
굴국,레티놀,81.00㎍
굴국,비타민 A,314.72㎍RE
굴국,비타민 B,60.34mg
굴국,비타민 C,47.44mg
굴국,비타민 E,3.23mg
굴국,식이섬유,6.05g
굴국,아연,136.67mg
굴국,엽산,44.18㎍
굴국,인,330.52mg
굴국,지질,11.30g
굴국,철분,10.35mg
굴국,칼륨,"1,060.40mg"
굴국,칼슘,232.54mg
굴국,콜레스테롤,75.00mg
핫케이크,베타카로틴,22.83㎍
핫케이크,니아신,2.36mg
핫케이크,나트륨,"1,275.76mg"
핫케이크,단백질,29.72g
핫케이크,당질,246.41g
핫케이크,레티놀,107.77㎍
핫케이크,비타민 A,111.58㎍RE
핫케이크,비타민 B,60.98mg
핫케이크,비타민 C,1.05mg
핫케이크,비타민 E,32.35mg
핫케이크,식이섬유,5.61g
핫케이크,아연,2.28mg
핫케이크,엽산,54.70㎍
핫케이크,인,477.13mg
핫케이크,지질,42.51g
핫케이크,철분,3.59mg
핫케이크,칼륨,445.61mg
핫케이크,칼슘,527.83mg
핫케이크,콜레스테롤,251.66mg
참치볶음밥,베타카로틴,"1,211.14㎍"
참치볶음밥,니아신,6.91mg
참치볶음밥,나트륨,977.12mg
참치볶음밥,단백질,17.51g
참치볶음밥,당질,67.42g
참치볶음밥,레티놀,0.00㎍
참치볶음밥,비타민 A,201.89㎍RE
참치볶음밥,비타민 B,60.88mg
참치볶음밥,비타민 C,5.40mg
참치볶음밥,비타민 E,31.25mg
참치볶음밥,식이섬유,2.27g
참치볶음밥,아연,1.16mg
참치볶음밥,엽산,27.05㎍
참치볶음밥,인,154.64mg
참치볶음밥,지질,44.17g
참치볶음밥,철분,5.29mg
참치볶음밥,칼륨,318.81mg
참치볶음밥,칼슘,63.22mg
참치볶음밥,콜레스테롤,30.55mg
생 초콜릿,베타카로틴,83.70㎍
생 초콜릿,니아신,1.54mg
생 초콜릿,나트륨,6.79mg
생 초콜릿,단백질,9.96g
생 초콜릿,당질,136.59g
생 초콜릿,레티놀,3.16㎍
생 초콜릿,비타민 A,"1,167.80㎍RE"
생 초콜릿,비타민 B,60.14mg
생 초콜릿,비타민 C,0.00mg
생 초콜릿,비타민 E,3.23mg
생 초콜릿,식이섬유,6.96g
생 초콜릿,아연,244.90mg
생 초콜릿,엽산,18.90㎍
생 초콜릿,인,3.30mg
생 초콜릿,지질,78.77g
생 초콜릿,철분,300.75mg
생 초콜릿,칼륨,0.02mg
생 초콜릿,칼슘,77.95mg
생 초콜릿,콜레스테롤,68.05mg
고구마샐러드,베타카로틴,462.08㎍
고구마샐러드,니아신,4.33mg
고구마샐러드,나트륨,"2,212.18mg"
고구마샐러드,단백질,15.90g
고구마샐러드,당질,194.51g
고구마샐러드,레티놀,0.00㎍
고구마샐러드,비타민 A,91.24㎍RE
고구마샐러드,비타민 B,62.41mg
고구마샐러드,비타민 C,103.78mg
고구마샐러드,비타민 E,7.06mg
고구마샐러드,식이섬유,12.44g
고구마샐러드,아연,2.90mg
고구마샐러드,엽산,506.15㎍
고구마샐러드,인,450.02mg
고구마샐러드,지질,33.99g
고구마샐러드,철분,4.39mg
고구마샐러드,칼륨,"2,084.78mg"
고구마샐러드,칼슘,230.02mg
고구마샐러드,콜레스테롤,16.80mg
돼지등뼈찜,베타카로틴,"3,156.06㎍"
돼지등뼈찜,니아신,48.35mg
돼지등뼈찜,나트륨,"3,285.32mg"
돼지등뼈찜,단백질,150.56g
돼지등뼈찜,당질,123.68g
돼지등뼈찜,레티놀,45.00㎍
돼지등뼈찜,비타민 A,571.02㎍RE
돼지등뼈찜,비타민 B,63.98mg
돼지등뼈찜,비타민 C,61.87mg
돼지등뼈찜,비타민 E,15.42mg
돼지등뼈찜,식이섬유,11.57g
돼지등뼈찜,아연,19.48mg
돼지등뼈찜,엽산,100.15㎍
돼지등뼈찜,인,"1,755.51mg"
돼지등뼈찜,지질,126.97g
돼지등뼈찜,철분,8.77mg
돼지등뼈찜,칼륨,"2,645.34mg"
돼지등뼈찜,칼슘,273.20mg
돼지등뼈찜,콜레스테롤,517.50mg
마파두부,베타카로틴,411.20㎍
마파두부,니아신,4.30mg
마파두부,나트륨,"2,391.68mg"
마파두부,단백질,29.41g
마파두부,당질,28.09g
마파두부,레티놀,2.50㎍
마파두부,비타민 A,71.18㎍RE
마파두부,비타민 B,60.66mg
마파두부,비타민 C,12.12mg
마파두부,비타민 E,5.51mg
마파두부,식이섬유,3.70g
마파두부,아연,2.33mg
마파두부,엽산,69.97㎍
마파두부,인,395.04mg
마파두부,지질,15.57g
마파두부,철분,8.74mg
마파두부,칼륨,736.90mg
마파두부,칼슘,228.62mg
마파두부,콜레스테롤,27.50mg
크림스파게티,베타카로틴,283.41㎍
크림스파게티,니아신,4.23mg
크림스파게티,나트륨,"1,216.51mg"
크림스파게티,단백질,24.06g
크림스파게티,당질,89.42g
크림스파게티,레티놀,88.75㎍
크림스파게티,비타민 A,136.14㎍RE
크림스파게티,비타민 B,60.36mg
크림스파게티,비타민 C,40.68mg
크림스파게티,비타민 E,5.80mg
크림스파게티,식이섬유,4.52g
크림스파게티,아연,2.56mg
크림스파게티,엽산,125.91㎍
크림스파게티,인,421.99mg
크림스파게티,지질,55.39g
크림스파게티,철분,2.76mg
크림스파게티,칼륨,585.37mg
크림스파게티,칼슘,163.56mg
크림스파게티,콜레스테롤,79.56mg
