음식이름,영양성분,함유량
야채전,레티놀,76.50㎍
야채전,비타민 A,216.50㎍RE
야채전,비타민 B,60.20mg
야채전,비타민 C,17.50mg
야채전,비타민 E,10.17mg
야채전,식이섬유,2.05g
야채전,아연,0.82mg
야채전,엽산,18.32㎍
야채전,인,132.60mg
야채전,지질,15.01g
야채전,철분,1.55mg
야채전,칼륨,291.95mg
야채전,칼슘,37.20mg
야채전,콜레스테롤,237.50mg
부추전,베타카로틴,"1,027.50㎍"
부추전,니아신,2.96mg
부추전,나트륨,157.50mg
부추전,단백질,38.85g
부추전,당질,173.68g
부추전,레티놀,91.80㎍
부추전,비타민 A,"1,539.10㎍RE"
부추전,비타민 B,60.53mg
부추전,비타민 C,110.20mg
부추전,비타민 E,26.22mg
부추전,식이섬유,12.58g
부추전,아연,2.79mg
부추전,엽산,179.70㎍
부추전,인,353.70mg
부추전,지질,32.78g
부추전,철분,8.85mg
부추전,칼륨,"1,357.90mg"
부추전,칼슘,142.35mg
부추전,콜레스테롤,285.00mg
감자볶음,베타카로틴,116.34㎍
감자볶음,니아신,2.93mg
감자볶음,나트륨,827.98mg
감자볶음,단백질,6.68g
감자볶음,당질,30.96g
감자볶음,레티놀,0.00㎍
감자볶음,비타민 A,19.38㎍RE
감자볶음,비타민 B,60.69mg
감자볶음,비타민 C,47.82mg
감자볶음,비타민 E,12.73mg
감자볶음,식이섬유,3.85g
감자볶음,아연,1.01mg
감자볶음,엽산,36.39㎍
감자볶음,인,145.12mg
감자볶음,지질,12.35g
감자볶음,철분,2.17mg
감자볶음,칼륨,937.85mg
감자볶음,칼슘,34.62mg
감자볶음,콜레스테롤,0.30mg
닭칼국수,베타카로틴,1.92㎍
닭칼국수,니아신,44.23mg
닭칼국수,나트륨,"4,883.70mg"
닭칼국수,단백질,135.88g
닭칼국수,당질,228.98g
닭칼국수,레티놀,302.50㎍
닭칼국수,비타민 A,302.74㎍RE
닭칼국수,비타민 B,61.97mg
닭칼국수,비타민 C,11.00mg
닭칼국수,비타민 E,3.99mg
닭칼국수,식이섬유,11.63g
닭칼국수,아연,15.24mg
닭칼국수,엽산,118.41㎍
닭칼국수,인,"1,318.30mg"
닭칼국수,지질,72.31g
닭칼국수,철분,10.17mg
닭칼국수,칼륨,"1,498.02mg"
닭칼국수,칼슘,306.26mg
닭칼국수,콜레스테롤,412.50mg
양배추쌈,베타카로틴,"3,532.52㎍"
양배추쌈,니아신,19.49mg
양배추쌈,나트륨,"9,853.11mg"
양배추쌈,단백질,95.57g
양배추쌈,당질,91.35g
양배추쌈,레티놀,36.00㎍
양배추쌈,비타민 A,41.02㎍RE
양배추쌈,비타민 B,63.28mg
양배추쌈,비타민 C,39.07mg
양배추쌈,비타민 E,9.82mg
양배추쌈,식이섬유,14.58g
양배추쌈,아연,15.73mg
양배추쌈,엽산,200.32㎍
양배추쌈,인,"1,113.38mg"
양배추쌈,지질,244.74g
양배추쌈,철분,29.38mg
양배추쌈,칼륨,"2,044.36mg"
양배추쌈,칼슘,318.40mg
양배추쌈,콜레스테롤,147.00mg
도리뱅뱅이,베타카로틴,"2,898.50㎍"
도리뱅뱅이,니아신,6.81mg
도리뱅뱅이,나트륨,"1,264.70mg"
도리뱅뱅이,단백질,33.54g
도리뱅뱅이,당질,43.57g
도리뱅뱅이,레티놀,42.50㎍
도리뱅뱅이,비타민 A,525.80㎍RE
도리뱅뱅이,비타민 B,61.32mg
도리뱅뱅이,비타민 C,37.55mg
도리뱅뱅이,비타민 E,5.03mg
도리뱅뱅이,식이섬유,6.25g
도리뱅뱅이,아연,6.93mg
도리뱅뱅이,엽산,63.64㎍
도리뱅뱅이,인,463.54mg
도리뱅뱅이,지질,11.21g
도리뱅뱅이,철분,3.99mg
도리뱅뱅이,칼륨,"1,063.22mg"
도리뱅뱅이,칼슘,"1,279.59mg"
도리뱅뱅이,콜레스테롤,340.00mg
잔멸치볶음,베타카로틴,47.08㎍
잔멸치볶음,니아신,4.41mg
잔멸치볶음,나트륨,19.38mg
잔멸치볶음,단백질,17.70g
잔멸치볶음,당질,14.89g
잔멸치볶음,레티놀,0.00㎍
잔멸치볶음,비타민 A,7.87㎍RE
잔멸치볶음,비타민 B,60.61mg
잔멸치볶음,비타민 C,1.89mg
잔멸치볶음,비타민 E,15.72mg
잔멸치볶음,식이섬유,1.05g
잔멸치볶음,아연,1.12mg
잔멸치볶음,엽산,22.16㎍
잔멸치볶음,인,625.96mg
잔멸치볶음,지질,23.25g
잔멸치볶음,철분,4.56mg
잔멸치볶음,칼륨,788.06mg
잔멸치볶음,칼슘,578.72mg
잔멸치볶음,콜레스테롤,334.20mg
새우볶음밥,베타카로틴,815.43㎍
새우볶음밥,니아신,2.08mg
새우볶음밥,나트륨,587.21mg
새우볶음밥,단백질,24.02g
새우볶음밥,당질,66.11g
새우볶음밥,레티놀,76.50㎍
새우볶음밥,비타민 A,212.46㎍RE
새우볶음밥,비타민 B,60.75mg
새우볶음밥,비타민 C,9.59mg
새우볶음밥,비타민 E,41.15mg
새우볶음밥,식이섬유,2.02g
새우볶음밥,아연,1.89mg
새우볶음밥,엽산,26.55㎍
새우볶음밥,인,290.70mg
새우볶음밥,지질,56.12g
새우볶음밥,철분,2.99mg
새우볶음밥,칼륨,349.66mg
새우볶음밥,칼슘,80.32mg
새우볶음밥,콜레스테롤,317.20mg
단호박샐러드,베타카로틴,"6,930.34㎍"
단호박샐러드,니아신,7.37mg
단호박샐러드,나트륨,"1,260.99mg"
단호박샐러드,단백질,23.93g
단호박샐러드,당질,107.77g
단호박샐러드,레티놀,0.00㎍
단호박샐러드,비타민 A,"1,222.95㎍RE"
단호박샐러드,비타민 B,61.37mg
단호박샐러드,비타민 C,166.88mg
단호박샐러드,비타민 E,23.17mg
단호박샐러드,식이섬유,13.61g
단호박샐러드,아연,3.93mg
단호박샐러드,엽산,357.19㎍
단호박샐러드,인,659.54mg
단호박샐러드,지질,28.05g
단호박샐러드,철분,5.44mg
단호박샐러드,칼륨,"1,989.83mg"
단호박샐러드,칼슘,579.84mg
단호박샐러드,콜레스테롤,32.49mg
홍합탕,베타카로틴,"1,906.86㎍"
홍합탕,니아신,19.55mg
홍합탕,나트륨,"9,537.52mg"
홍합탕,단백질,103.83g
홍합탕,당질,39.67g
홍합탕,레티놀,0.00㎍
홍합탕,비타민 A,317.90㎍RE
홍합탕,비타민 B,60.79mg
홍합탕,비타민 C,60.34mg
홍합탕,비타민 E,24.32mg
홍합탕,식이섬유,2.70g
홍합탕,아연,14.17mg
홍합탕,엽산,168.68㎍
홍합탕,인,"1,819.12mg"
홍합탕,지질,17.37g
홍합탕,철분,28.46mg
홍합탕,칼륨,"2,219.12mg"
홍합탕,칼슘,597.98mg
홍합탕,콜레스테롤,490.00mg
김치계란말이,베타카로틴,752.70㎍
김치계란말이,니아신,1.07mg
김치계란말이,나트륨,940.20mg
김치계란말이,단백질,27.19g
김치계란말이,당질,8.27g
김치계란말이,레티놀,306.00㎍
김치계란말이,비타민 A,431.22㎍RE
김치계란말이,비타민 B,60.36mg
김치계란말이,비타민 C,12.58mg
김치계란말이,비타민 E,11.97mg
김치계란말이,식이섬유,3.06g
김치계란말이,아연,1.99mg
김치계란말이,엽산,42.09㎍
김치계란말이,인,381.42mg
김치계란말이,지질,35.60g
김치계란말이,철분,4.43mg
김치계란말이,칼륨,505.51mg
김치계란말이,칼슘,138.31mg
김치계란말이,콜레스테롤,950.00mg
바지락조개탕,베타카로틴,"1,039.46㎍"
바지락조개탕,니아신,4.45mg
바지락조개탕,나트륨,"1,724.62mg"
바지락조개탕,단백질,27.44g
바지락조개탕,당질,4.08g
바지락조개탕,레티놀,23.50㎍
바지락조개탕,비타민 A,195.97㎍RE
바지락조개탕,비타민 B,60.18mg
바지락조개탕,비타민 C,17.78mg
바지락조개탕,비타민 E,2.93mg
바지락조개탕,식이섬유,1.12g
바지락조개탕,아연,2.93mg
바지락조개탕,엽산,40.57㎍
바지락조개탕,인,380.33mg
바지락조개탕,지질,2.03g
바지락조개탕,철분,16.29mg
바지락조개탕,칼륨,531.79mg
바지락조개탕,칼슘,209.31mg
바지락조개탕,콜레스테롤,155.10mg
알감자조림,베타카로틴,"3,920.00㎍"
알감자조림,니아신,6.79mg
알감자조림,나트륨,"3,070.72mg"
알감자조림,단백질,16.06g
알감자조림,당질,79.57g
알감자조림,레티놀,0.00㎍
알감자조림,비타민 A,653.50㎍RE
알감자조림,비타민 B,61.68mg
알감자조림,비타민 C,111.40mg
알감자조림,비타민 E,1.42mg
알감자조림,식이섬유,11.04g
알감자조림,아연,2.19mg
알감자조림,엽산,79.86㎍
알감자조림,인,352.99mg
알감자조림,지질,2.81g
알감자조림,철분,5.68mg
알감자조림,칼륨,"2,129.58mg"
알감자조림,칼슘,123.76mg
알감자조림,콜레스테롤,0.50mg
육개장,베타카로틴,"2,987.20㎍"
육개장,니아신,36.51mg
육개장,나트륨,"4,378.18mg"
육개장,단백질,146.65g
육개장,당질,35.72g
육개장,레티놀,102.00㎍
육개장,비타민 A,599.80㎍RE
육개장,비타민 B,65.26mg
육개장,비타민 C,109.20mg
육개장,비타민 E,5.51mg
육개장,식이섬유,29.28g
육개장,아연,15.70mg
육개장,엽산,417.52㎍
육개장,인,"1,515.70mg"
육개장,지질,65.16g
육개장,철분,20.24mg
육개장,칼륨,"3,586.66mg"
육개장,칼슘,429.70mg
육개장,콜레스테롤,306.00mg
부추겉절이,베타카로틴,0.13㎍
부추겉절이,니아신,0.24mg
부추겉절이,나트륨,493.04mg
부추겉절이,단백질,5.22g
부추겉절이,당질,4.74g
부추겉절이,레티놀,0.00㎍
부추겉절이,비타민 A,638.04㎍RE
부추겉절이,비타민 B,60.20mg
부추겉절이,비타민 C,41.37mg
부추겉절이,비타민 E,1.14mg
부추겉절이,식이섬유,2.37g
부추겉절이,아연,0.56mg
부추겉절이,엽산,59.81㎍
부추겉절이,인,37.95mg
부추겉절이,지질,0.57g
부추겉절이,철분,3.07mg
부추겉절이,칼륨,535.64mg
부추겉절이,칼슘,40.39mg
부추겉절이,콜레스테롤,10.72mg
매운탕,베타카로틴,"33,422.05㎍"
매운탕,니아신,38.30mg
매운탕,나트륨,"61,300.00mg"
매운탕,단백질,145.33g
매운탕,당질,235.48g
매운탕,레티놀,56.80㎍
매운탕,비타민 A,"7,721.65㎍RE"
매운탕,비타민 B,64.62mg
매운탕,비타민 C,133.95mg
매운탕,비타민 E,25.60mg
매운탕,식이섬유,89.50g
매운탕,아연,13.07mg
매운탕,엽산,831.19㎍
매운탕,인,"1,836.95mg"
매운탕,지질,36.40g
매운탕,철분,31.20mg
매운탕,칼륨,"8,797.75mg"
매운탕,칼슘,604.40mg
매운탕,콜레스테롤,292.60mg
배춧국,베타카로틴,"1,367.44㎍"
배춧국,니아신,6.34mg
배춧국,나트륨,"1,850.70mg"
배춧국,단백질,27.10g
배춧국,당질,10.81g
배춧국,레티놀,13.60㎍
배춧국,비타민 A,241.28㎍RE
배춧국,비타민 B,60.72mg
배춧국,비타민 C,81.52mg
배춧국,비타민 E,1.05mg
배춧국,식이섬유,6.56g
배춧국,아연,2.61mg
배춧국,엽산,113.24㎍
배춧국,인,351.12mg
배춧국,지질,21.44g
배춧국,철분,3.96mg
배춧국,칼륨,990.06mg
배춧국,칼슘,121.77mg
배춧국,콜레스테롤,4.75mg
청국장찌개,베타카로틴,"3,511.70㎍"
청국장찌개,니아신,9.56mg
청국장찌개,나트륨,"4,891.80mg"
청국장찌개,단백질,59.12g
청국장찌개,당질,32.35g
청국장찌개,레티놀,8.50㎍
청국장찌개,비타민 A,593.00㎍RE
청국장찌개,비타민 B,61.20mg
청국장찌개,비타민 C,85.30mg
청국장찌개,비타민 E,3.56mg
청국장찌개,식이섬유,33.06g
청국장찌개,아연,7.44mg
청국장찌개,엽산,199.45㎍
청국장찌개,인,788.10mg
청국장찌개,지질,24.76g
청국장찌개,철분,14.69mg
청국장찌개,칼륨,"1,993.50mg"
청국장찌개,칼슘,709.55mg
청국장찌개,콜레스테롤,25.50mg
참치김밥,베타카로틴,"10,045.80㎍"
참치김밥,니아신,16.83mg
참치김밥,나트륨,"4,688.30mg"
참치김밥,단백질,59.12g
참치김밥,당질,0.09g
참치김밥,레티놀,153.00㎍
참치김밥,비타민 A,"1,832.30㎍RE"
참치김밥,비타민 B,61.68mg
참치김밥,비타민 C,76.70mg
참치김밥,비타민 E,25.82mg
참치김밥,식이섬유,232.63g
참치김밥,아연,5.36mg
참치김밥,엽산,196.39㎍
참치김밥,인,756.40mg
참치김밥,지질,80.59g
참치김밥,철분,15.61mg
참치김밥,칼륨,"1,415.85mg"
참치김밥,칼슘,394.75mg
참치김밥,콜레스테롤,573.50mg
도라지나물,베타카로틴,153.84㎍
도라지나물,니아신,1.63mg
도라지나물,나트륨,926.83mg
도라지나물,단백질,6.55g
도라지나물,당질,45.32g
도라지나물,레티놀,0.00㎍
도라지나물,비타민 A,136.94㎍RE
도라지나물,비타민 B,60.91mg
도라지나물,비타민 C,36.80mg
도라지나물,비타민 E,17.80mg
도라지나물,식이섬유,10.51g
도라지나물,아연,0.96mg
도라지나물,엽산,28.39㎍
도라지나물,인,134.46mg
도라지나물,지질,22.82g
도라지나물,철분,5.87mg
도라지나물,칼륨,"1,084.79mg"
도라지나물,칼슘,159.50mg
도라지나물,콜레스테롤,118.30mg
부추무침,베타카로틴,852.90㎍
부추무침,니아신,1.37mg
부추무침,나트륨,"1,668.43mg"
부추무침,단백질,9.63g
부추무침,당질,9.84g
부추무침,레티놀,0.00㎍
부추무침,비타민 A,"1,099.14㎍RE"
부추무침,비타민 B,60.44mg
부추무침,비타민 C,63.56mg
부추무침,비타민 E,4.13mg
부추무침,식이섬유,5.80g
부추무침,아연,1.36mg
부추무침,엽산,96.54㎍
부추무침,인,81.63mg
부추무침,지질,8.69g
부추무침,철분,5.42mg
부추무침,칼륨,962.32mg
부추무침,칼슘,104.42mg
부추무침,콜레스테롤,33.50mg
카레라이스,베타카로틴,"4,316.00㎍"
카레라이스,니아신,20.21mg
카레라이스,나트륨,"5,143.80mg"
카레라이스,단백질,58.77g
카레라이스,당질,122.57g
카레라이스,레티놀,102.00㎍
카레라이스,비타민 A,821.50㎍RE
카레라이스,비타민 B,63.25mg
카레라이스,비타민 C,139.00mg
카레라이스,비타민 E,13.13mg
카레라이스,식이섬유,15.05g
카레라이스,아연,4.56mg
카레라이스,엽산,411.35㎍
카레라이스,인,696.50mg
카레라이스,지질,87.67g
카레라이스,철분,9.50mg
카레라이스,칼륨,"6,805.80mg"
카레라이스,칼슘,308.40mg
카레라이스,콜레스테롤,159.50mg
돼지갈비구이,베타카로틴,79.18㎍
돼지갈비구이,니아신,15.62mg
돼지갈비구이,나트륨,"1,149.77mg"
돼지갈비구이,단백질,48.73g
돼지갈비구이,당질,12.40g
돼지갈비구이,레티놀,15.00㎍
돼지갈비구이,비타민 A,28.24㎍RE
돼지갈비구이,비타민 B,61.15mg
돼지갈비구이,비타민 C,8.33mg
돼지갈비구이,비타민 E,0.92mg
돼지갈비구이,식이섬유,1.34g
돼지갈비구이,아연,6.13mg
돼지갈비구이,엽산,15.14㎍
돼지갈비구이,인,546.24mg
돼지갈비구이,지질,34.90g
돼지갈비구이,철분,1.81mg
돼지갈비구이,칼륨,711.34mg
돼지갈비구이,칼슘,49.76mg
돼지갈비구이,콜레스테롤,172.50mg
모시조개미역국,베타카로틴,21.84㎍
모시조개미역국,니아신,2.71mg
모시조개미역국,나트륨,"2,588.34mg"
모시조개미역국,단백질,13.95g
모시조개미역국,당질,9.79g
모시조개미역국,레티놀,10.50㎍
모시조개미역국,비타민 A,14.20㎍RE
모시조개미역국,비타민 B,60.22mg
모시조개미역국,비타민 C,1.74mg
모시조개미역국,비타민 E,4.40mg
모시조개미역국,식이섬유,3.29g
모시조개미역국,아연,3.78mg
모시조개미역국,엽산,92.32㎍
모시조개미역국,인,202.30mg
모시조개미역국,지질,1.21g
모시조개미역국,철분,7.53mg
모시조개미역국,칼륨,781.02mg
모시조개미역국,칼슘,176.56mg
모시조개미역국,콜레스테롤,92.90mg
미소된장국,베타카로틴,57.60㎍
미소된장국,니아신,9.09mg
미소된장국,나트륨,"2,703.95mg"
미소된장국,단백질,31.40g
미소된장국,당질,16.81g
미소된장국,레티놀,0.30㎍
미소된장국,비타민 A,9.90㎍RE
미소된장국,비타민 B,60.50mg
미소된장국,비타민 C,2.40mg
미소된장국,비타민 E,2.18mg
미소된장국,식이섬유,9.09g
미소된장국,아연,3.39mg
미소된장국,엽산,305.15㎍
미소된장국,인,346.00mg
미소된장국,지질,12.61g
미소된장국,철분,11.57mg
미소된장국,칼륨,"1,426.50mg"
미소된장국,칼슘,409.65mg
미소된장국,콜레스테롤,27.00mg
전가복,베타카로틴,"3,492.50㎍"
전가복,니아신,13.56mg
전가복,나트륨,"3,020.97mg"
전가복,단백질,68.47g
전가복,당질,59.75g
전가복,레티놀,0.00㎍
전가복,비타민 A,582.56㎍RE
전가복,비타민 B,61.13mg
전가복,비타민 C,95.18mg
전가복,비타민 E,13.38mg
전가복,식이섬유,12.34g
전가복,아연,8.20mg
전가복,엽산,132.16㎍
전가복,인,795.63mg
전가복,지질,6.96g
전가복,철분,13.00mg
전가복,칼륨,"2,123.53mg"
전가복,칼슘,315.81mg
전가복,콜레스테롤,525.40mg
치즈볶음밥,베타카로틴,"1,252.36㎍"
치즈볶음밥,니아신,1.34mg
치즈볶음밥,나트륨,440.06mg
치즈볶음밥,단백질,10.27g
치즈볶음밥,당질,58.31g
치즈볶음밥,레티놀,0.00㎍
치즈볶음밥,비타민 A,258.15㎍RE
치즈볶음밥,비타민 B,60.21mg
치즈볶음밥,비타민 C,27.18mg
치즈볶음밥,비타민 E,11.37mg
치즈볶음밥,식이섬유,1.94g
치즈볶음밥,아연,1.80mg
치즈볶음밥,엽산,12.65㎍
치즈볶음밥,인,161.60mg
치즈볶음밥,지질,20.03g
치즈볶음밥,철분,1.29mg
치즈볶음밥,칼륨,217.49mg
치즈볶음밥,칼슘,155.67mg
치즈볶음밥,콜레스테롤,19.23mg
낙지전골,베타카로틴,"5,771.00㎍"
낙지전골,니아신,15.20mg
낙지전골,나트륨,"2,883.00mg"
낙지전골,단백질,65.00g
낙지전골,당질,42.10g
낙지전골,레티놀,0.00㎍
낙지전골,비타민 A,962.10㎍RE
낙지전골,비타민 B,61.30mg
낙지전골,비타민 C,31.60mg
낙지전골,비타민 E,19.20mg
낙지전골,식이섬유,12.40g
낙지전골,아연,9.20mg
낙지전골,엽산,146.00㎍
낙지전골,인,889.00mg
낙지전골,지질,18.99g
낙지전골,철분,7.20mg
낙지전골,칼륨,"2,064.00mg"
낙지전골,칼슘,165.00mg
낙지전골,콜레스테롤,520.30mg
너트치킨샐러드,베타카로틴,660.60㎍
너트치킨샐러드,니아신,20.58mg
너트치킨샐러드,나트륨,"1,508.75mg"
너트치킨샐러드,단백질,50.27g
너트치킨샐러드,당질,70.74g
너트치킨샐러드,레티놀,39.00㎍
너트치킨샐러드,비타민 A,155.85㎍RE
너트치킨샐러드,비타민 B,62.00mg
너트치킨샐러드,비타민 C,21.80mg
너트치킨샐러드,비타민 E,20.66mg
너트치킨샐러드,식이섬유,7.71g
너트치킨샐러드,아연,8.15mg
너트치킨샐러드,엽산,513.89㎍
너트치킨샐러드,인,641.00mg
너트치킨샐러드,지질,98.21g
너트치킨샐러드,철분,5.53mg
너트치킨샐러드,칼륨,"1,308.75mg"
너트치킨샐러드,칼슘,180.15mg
너트치킨샐러드,콜레스테롤,130.40mg
포춘쿠키,베타카로틴,41.82㎍
포춘쿠키,니아신,1.08mg
포춘쿠키,나트륨,"2,864.47mg"
포춘쿠키,단백질,32.65g
포춘쿠키,당질,299.39g
포춘쿠키,레티놀,134.98㎍
포춘쿠키,비타민 A,142.12㎍RE
포춘쿠키,비타민 B,61.87mg
포춘쿠키,비타민 C,0.00mg
포춘쿠키,비타민 E,1.05mg
포춘쿠키,식이섬유,3.13g
포춘쿠키,아연,1.27mg
포춘쿠키,엽산,31.91㎍
포춘쿠키,인,127.62mg
포춘쿠키,지질,30.71g
포춘쿠키,철분,1.85mg
포춘쿠키,칼륨,465.16mg
포춘쿠키,칼슘,60.50mg
포춘쿠키,콜레스테롤,90.74mg
오징어젓갈,베타카로틴,"2,855.14㎍"
오징어젓갈,니아신,12.08mg
오징어젓갈,나트륨,"7,163.72mg"
오징어젓갈,단백질,68.99g
오징어젓갈,당질,73.02g
오징어젓갈,레티놀,0.00㎍
오징어젓갈,비타민 A,476.18㎍RE
오징어젓갈,비타민 B,61.29mg
오징어젓갈,비타민 C,21.92mg
오징어젓갈,비타민 E,10.33mg
오징어젓갈,식이섬유,7.67g
오징어젓갈,아연,5.22mg
오징어젓갈,엽산,70.81㎍
오징어젓갈,인,925.84mg
오징어젓갈,지질,5.36g
오징어젓갈,철분,3.57mg
오징어젓갈,칼륨,"1,891.30mg"
오징어젓갈,칼슘,120.59mg
오징어젓갈,콜레스테롤,814.08mg
과일샐러드,베타카로틴,457.28㎍
과일샐러드,니아신,4.40mg
과일샐러드,나트륨,"1,021.79mg"
과일샐러드,단백질,14.54g
과일샐러드,당질,255.54g
과일샐러드,레티놀,0.00㎍
과일샐러드,비타민 A,92.78㎍RE
과일샐러드,비타민 B,61.47mg
과일샐러드,비타민 C,100.18mg
과일샐러드,비타민 E,7.50mg
과일샐러드,식이섬유,12.65g
과일샐러드,아연,2.57mg
과일샐러드,엽산,216.41㎍
과일샐러드,인,363.76mg
과일샐러드,지질,31.11g
과일샐러드,철분,3.96mg
과일샐러드,칼륨,"2,170.05mg"
과일샐러드,칼슘,176.70mg
과일샐러드,콜레스테롤,41.28mg
감자채볶음,베타카로틴,"1,674.67㎍"
감자채볶음,니아신,6.75mg
감자채볶음,나트륨,"1,977.75mg"
감자채볶음,단백질,10.32g
감자채볶음,당질,38.82g
감자채볶음,레티놀,0.00㎍
감자채볶음,비타민 A,279.17㎍RE
감자채볶음,비타민 B,60.95mg
감자채볶음,비타민 C,62.87mg
감자채볶음,비타민 E,9.59mg
감자채볶음,식이섬유,9.18g
감자채볶음,아연,2.20mg
감자채볶음,엽산,76.72㎍
감자채볶음,인,259.46mg
감자채볶음,지질,24.10g
감자채볶음,철분,4.02mg
감자채볶음,칼륨,"1,512.99mg"
감자채볶음,칼슘,146.40mg
감자채볶음,콜레스테롤,0.07mg
꽁치찌개,베타카로틴,"2,268.80㎍"
꽁치찌개,니아신,12.25mg
꽁치찌개,나트륨,"2,905.14mg"
꽁치찌개,단백질,2.33g
꽁치찌개,당질,16.52g
꽁치찌개,레티놀,63.00㎍
꽁치찌개,비타민 A,441.10㎍RE
꽁치찌개,비타민 B,61.09mg
꽁치찌개,비타민 C,27.48mg
꽁치찌개,비타민 E,4.07mg
꽁치찌개,식이섬유,4.15g
꽁치찌개,아연,2.23mg
꽁치찌개,엽산,38.16㎍
꽁치찌개,인,386.33mg
꽁치찌개,지질,35.09g
꽁치찌개,철분,3.87mg
꽁치찌개,칼륨,878.19mg
꽁치찌개,칼슘,381.95mg
꽁치찌개,콜레스테롤,109.80mg
파김치,베타카로틴,"45,000.90㎍"
파김치,니아신,41.39mg
파김치,나트륨,"28,418.28mg"
파김치,단백질,134.16g
파김치,당질,165.65g
파김치,레티놀,233.20㎍
파김치,비타민 A,"7,734.30㎍RE"
파김치,비타민 B,67.22mg
파김치,비타민 C,853.50mg
파김치,비타민 E,25.12mg
파김치,식이섬유,107.76g
파김치,아연,13.05mg
파김치,엽산,734.06㎍
파김치,인,"3,689.12mg"
파김치,지질,41.51g
파김치,철분,44.29mg
파김치,칼륨,"13,335.42mg"
파김치,칼슘,"4,211.12mg"
파김치,콜레스테롤,463.66mg
도라지오징어생채,베타카로틴,"2,283.09㎍"
도라지오징어생채,니아신,6.37mg
도라지오징어생채,나트륨,"1,164.97mg"
도라지오징어생채,단백질,31.62g
도라지오징어생채,당질,64.90g
도라지오징어생채,레티놀,0.00㎍
도라지오징어생채,비타민 A,380.34㎍RE
도라지오징어생채,비타민 B,60.70mg
도라지오징어생채,비타민 C,39.80mg
도라지오징어생채,비타민 E,5.40mg
도라지오징어생채,식이섬유,14.23g
도라지오징어생채,아연,2.76mg
도라지오징어생채,엽산,60.14㎍
도라지오징어생채,인,486.98mg
도라지오징어생채,지질,5.19g
도라지오징어생채,철분,6.58mg
도라지오징어생채,칼륨,"1,880.33mg"
도라지오징어생채,칼슘,175.96mg
도라지오징어생채,콜레스테롤,296.40mg
순두부국,베타카로틴,"3,355.00㎍"
순두부국,니아신,5.27mg
순두부국,나트륨,"1,891.00mg"
순두부국,단백질,36.39g
순두부국,당질,14.77g
순두부국,레티놀,12.00㎍
순두부국,비타민 A,572.00㎍RE
순두부국,비타민 B,60.60mg
순두부국,비타민 C,80.30mg
순두부국,비타민 E,3.30mg
순두부국,식이섬유,10.34g
순두부국,아연,3.49mg
순두부국,엽산,91.10㎍
순두부국,인,493.77mg
순두부국,지질,12.69g
순두부국,철분,8.30mg
순두부국,칼륨,"1,173.00mg"
순두부국,칼슘,543.00mg
순두부국,콜레스테롤,142.00mg
젤리,베타카로틴,11.00㎍
젤리,니아신,0.38mg
젤리,나트륨,350.64mg
젤리,단백질,9.08g
젤리,당질,232.61g
젤리,레티놀,0.00㎍
젤리,비타민 A,2.00㎍RE
젤리,비타민 B,61.49mg
젤리,비타민 C,15.50mg
젤리,비타민 E,5.13mg
젤리,식이섬유,1.02g
젤리,아연,3.86mg
젤리,엽산,63.04㎍
젤리,인,24.74mg
젤리,지질,0.76g
젤리,철분,2.18mg
젤리,칼륨,873.67mg
젤리,칼슘,219.83mg
젤리,콜레스테롤,0.00mg
묵은지고등어조림,베타카로틴,"2,301.00㎍"
묵은지고등어조림,니아신,58.16mg
묵은지고등어조림,나트륨,"7,336.00mg"
묵은지고등어조림,단백질,151.46g
묵은지고등어조림,당질,35.51g
묵은지고등어조림,레티놀,280.00㎍
묵은지고등어조림,비타민 A,661.62㎍RE
묵은지고등어조림,비타민 B,63.19mg
묵은지고등어조림,비타민 C,120.80mg
묵은지고등어조림,비타민 E,15.70mg
묵은지고등어조림,식이섬유,22.69g
묵은지고등어조림,아연,6.85mg
묵은지고등어조림,엽산,347.65㎍
묵은지고등어조림,인,"1,849.22mg"
묵은지고등어조림,지질,165.07g
묵은지고등어조림,철분,14.61mg
묵은지고등어조림,칼륨,"4,055.00mg"
묵은지고등어조림,칼슘,534.56mg
묵은지고등어조림,콜레스테롤,575.00mg
홍합국,베타카로틴,60.23㎍
홍합국,니아신,1.63mg
홍합국,나트륨,"2,038.69mg"
홍합국,단백질,12.31g
홍합국,당질,12.54g
홍합국,레티놀,0.00㎍
홍합국,비타민 A,10.07㎍RE
홍합국,비타민 B,60.22mg
홍합국,비타민 C,8.89mg
홍합국,비타민 E,2.34mg
홍합국,식이섬유,3.17g
홍합국,아연,1.40mg
홍합국,엽산,47.75㎍
홍합국,인,223.29mg
홍합국,지질,3.07g
홍합국,철분,4.30mg
홍합국,칼륨,500.34mg
홍합국,칼슘,113.73mg
홍합국,콜레스테롤,34.30mg
두부찌개,베타카로틴,"5,659.24㎍"
두부찌개,니아신,7.13mg
두부찌개,나트륨,"4,844.26mg"
두부찌개,단백질,53.20g
두부찌개,당질,42.84g
두부찌개,레티놀,1.60㎍
두부찌개,비타민 A,944.68㎍RE
두부찌개,비타민 B,61.33mg
두부찌개,비타민 C,89.12mg
두부찌개,비타민 E,7.61mg
두부찌개,식이섬유,19.60g
두부찌개,아연,5.69mg
두부찌개,엽산,120.96㎍
두부찌개,인,687.60mg
두부찌개,지질,37.54g
두부찌개,철분,12.94mg
두부찌개,칼륨,"1,494.62mg"
두부찌개,칼슘,599.08mg
